Name,Phone,Phones,Average Rating,lat,lon,Fulladdress
Dr Satyajeet Singh,,,4.4,25.6204429,85.097529,"Mobile 94300-15154, Baba Chowk, Keshri Nagar, Dr Satyajeet Singh, MD, Ex Neuro Psychiatrist, Aiims, Keshri Nagar, Patna, Bihar 800024"
Healthy Minds Clinic-Dr. Saurabh Kumar,098994 61700,"098994 61700, +91 98994 61700",4.5,25.6132209,85.113994,"park (children's park, C50/2F, South, Boring Rd, opposite Sri krishna Puri Road, Sri Krishna Puri, Patna, Bihar 800001"
Manas Clinic- Dr Rakesh Kumar Singh,070700 00466,"070700 00466, +91 70700 00466",4.7,25.6050938,85.0848447,"Pal Market Building, 2nd Floor, Near Pillor, 65, Bailey Rd, Raja Bazar, Patna, Bihar 800014"
Dr Ayush Kumar Jayaswal,077820 06964,"077820 06964, +91 77820 06964",5,25.6184442,85.1638405,"Popular Nursing Home, Ashok Rajpath Rd, opposite Darbhanga House Road, Chauhatta, Lalbagh, Patna, Bihar 800004"
BUDDHA NEUROPSYCHIATRY,099710 38317,"099710 38317, +91 99710 38317",4.8,25.6144758,85.1165591,"131/E, Boring Rd, opposite PC Jewellers, below CAFE HIDEOUT, Patna, Bihar 800001"
Ashalok Neuro-Psychiatrist Clinic,083404 58954,"083404 58954, +91 83404 58954",4.8,25.6252177,85.114293,"Nehru Nagar Road No-2,HN No-47A,Jandhipath, Patliputra Colony, Patna, Bihar 800013"
Shanti Neuropsychiatry Centre - Dr Sachchidanand Singh,070704 74808,"070704 74808, +91 70704 74808",4.8,25.6018528,85.1562406,"G-37, Rajni Path, P C Colony Rd, in front of Savera Hospital, Patna, Bihar 800020"
Dr Vivek Pratap Singh,074810 54999,"074810 54999, +91 74810 54999",4.8,25.6024302,85.1454652,"shop number 4, Nutan Tower, near krish hyundai, Kankarbagh Colony More, Khasmahal, Mithapur, Patna, Bihar 800020"
AmitAyush - Centre of Excellence in Neuropsychiatry & Mental Health,085212 63759,"085212 63759, +91 85212 63759",4.2,25.5896914,85.1572,"Kailashpuri, 90 Feet Rd, near Ishan International Public School, Patna, Bihar 800020"
Dr Rakesh Kumar (Neuro-psychiatrist),070700 00466,"070700 00466, +91 70700 00466",4.5,25.6046637,85.0910633,"Pal market 2nd floor near pillor number 65, Raja Bazar, Sheikhpura, Patna, Bihar 800014"
