Name,Phone,Phones,Average Rating,lat,lon,Fulladdress
Dr. Anuja Kelkar ,095033 09619,"095033 09619, +91 95033 09619",4.6,19.2139002,72.9825542,"Gulmohar Heights, Ghodbunder Rd, near Lady Fatima Church, Majiwada, Thane, Maharashtra 400601"
Dr. D. Vitthal,022 2586 1253,"022 2586 1253, +91 22 2586 1253",4.9,19.2514992,72.9733622,"Manasi Nursing Home, Ghodbunder Road, Near Waghbil Naka,, Near Dongripada Bus Stop, Thane, Maharashtra 400607"
Dr. Alkesh Patil,090222 36410,"090222 36410, +91 90222 36410",5,19.2718963,72.9629682,"Vedant hospital, ghodbunder road kasarvadavli, ovale, Thane West, Thane, Maharashtra 400615"
National Mental Health Clinic - Dr Anjali Deshpande,,,5,19.193341,72.9705386,"3rd Floor, Petrol Pump, Ajit Darshan, Road, Naupada, Thane West, Thane, Maharashtra 400602"
Dr Vijay Teli,,,5,19.2101415,72.9613984,"Sai criticare hospital, 1st floor, laxmi markett, Pokharan Rd Number 1, Thane West, Thane, Maharashtra 400606"
Mannshakti clinic & Psychological health centre,085917 28368,"085917 28368, +91 85917 28368",4.7,19.2476212,72.9859999,"Shop number 1, building f3, phase 7 brahmand, azadnagar, next to Dharmachapada Bus Stop, Thane West, Thane, Maharashtra 400607"
Dr. Alkesh Patil,,,5,19.2030258,72.9614563,"Cure and care clinic, kusumagraj marg, tulsi dham Samta nagar, Vartak Nagar, Thane, Maharashtra 400606"
Dr. Vikram Vaidya Psychiatrist ,080 4803 5298,"080 4803 5298, +91 80 4803 5298",5,19.1946973,72.9722033,"A Wing, Panch Pakhdi, Thane West, Thane, Maharashtra 400602"
DHI Clinic - Psychiatrist and Psychologist Clinic,090292 90034,"090292 90034, +91 90292 90034",4.5,19.1914798,72.9686119,"Flat No. 302, 3rd Floor Giri Heaven Bldg, LBS Marg, Hariniwas Cir, Thane West, Maharashtra 400602"
"Dr.Prashant Mangla , Gajanan Mind Care Clinic",,,5,19.1964803,72.972534,"chs ltd, Tanvi Building, Flat no 101, dr, Lazarus Rd, Charai, Thane West, Thane, Maharashtra 400601"
